,ID,main_score,concern_count,comments_count
77,495034,9.92,3312,0
78,408936,9.84,2076,0
79,539450,10.0,2280,1
80,263457,9.98,1440,4
81,513083,9.98,2609,0
82,408286,9.98,1433,0
83,479891,9.93,922,0
84,512339,9.99,2492,0
85,470391,9.84,608,0
86,364337,9.96,5484,1
87,512041,10.0,5115,5
88,221400,9.88,7907,0
89,242308,9.99,4200,0
90,508428,9.96,1538,0
91,333567,9.97,9597,1
92,532969,9.99,5391,2
93,293152,9.94,4903,4
94,522990,9.99,4614,0
95,481331,0.0,2393,1
96,425239,9.73,4964,0
97,464501,9.97,7270,0
98,503631,9.98,5571,0
99,532577,9.99,3000,0
100,466329,9.99,3746,4
101,466560,9.99,4125,0
102,94006,9.96,2935,0
103,435864,9.95,1678,0
104,537950,10.0,2304,0
105,529028,9.98,2696,0
106,525752,9.98,9088,5
107,427497,9.98,4078,1
108,285181,9.93,332,0
109,541017,9.96,1255,0
110,388934,9.85,6872,1
111,298787,9.96,4122,0
112,518861,9.99,5779,8
113,492903,9.99,3484,0
114,527904,9.92,2415,0
115,330701,9.99,5373,0
116,492933,9.99,4697,0
117,406141,9.98,1233,0
118,531428,9.99,5649,0
119,429866,9.98,3738,0
120,331186,9.95,2318,0
121,500996,9.98,4797,0
122,396814,9.98,3919,0
123,71386,9.72,925,0
124,284661,9.96,15962,0
125,224412,9.96,10398,0
126,365390,9.97,12699,0
127,531464,10.0,2435,2
128,465054,9.97,3250,2
129,332617,9.46,3687,0
130,526284,9.92,3759,0
131,469641,9.87,609,0
132,470887,9.97,5060,0
133,519543,9.99,3472,0
134,404166,9.98,8910,0
135,502049,9.96,2520,0
136,211761,9.97,1202,0
137,506393,9.99,11935,0
138,374685,0.0,4512,1
139,285587,9.95,7679,0
140,434212,9.96,6976,2
141,275206,9.99,8547,0
142,391634,9.99,10014,0
143,126085,9.98,6861,0
144,425873,9.93,2451,0
145,509076,9.88,5799,1
146,504146,9.99,2475,0
147,525910,9.82,1423,0
148,360730,9.99,689,0
149,183564,10.0,2541,0
150,526291,9.96,2929,0
151,490335,9.82,601,0
152,371227,9.96,4051,0
153,425694,9.94,3925,0
154,329691,9.93,3194,0
155,451833,9.99,6391,1
156,502326,9.98,5353,0
157,398463,9.99,3250,0
158,411183,9.97,5577,0
159,70754,9.9,7671,0
160,501306,9.97,2687,0
161,271443,9.96,11874,1
