,level,genre,ID,name,episode_total,main_score,concern_count,comments_count
159,best,101.0,70754,서이나,4.0,9.9,7671,0
160,best,101.0,501306,로아J,94.0,9.97,2687,0
161,best,101.0,271443,꽃거지,106.0,9.96,11874,1
162,best,101.0,344651,춤추는팥빵,107.0,9.97,4263,0
163,best,101.0,358700,하수영,13.0,9.99,4557,0
164,best,101.0,473393,FLEUR,63.0,9.97,1837,0
165,best,101.0,505015,화이트진,10.0,9.99,2983,0
166,best,101.0,366765,은아란(silveraran86),69.0,9.96,2761,0
167,best,101.0,485480,초록 물고기,101.0,9.99,2228,0
168,best,101.0,407800,규올,88.0,9.99,1065,0
169,best,101.0,452166,블루시연,52.0,9.92,1446,0
170,best,101.0,487571,가을s,84.0,9.97,4535,0
171,best,101.0,389183,주리안,2.0,9.94,3137,0
172,best,101.0,196107,김하림,99.0,9.98,1134,0
173,best,101.0,11916,이른봄,8.0,9.98,9191,0
174,best,101.0,499199,초록 물고기,105.0,9.99,1112,0
175,best,101.0,485027,Naru*,1.0,9.83,6810,1
176,best,101.0,518005,거림민,80.0,9.99,2406,0
177,best,101.0,436878,로즈빈,8.0,9.99,13794,0
178,best,101.0,496329,서림*,83.0,9.99,3640,0
179,best,101.0,511452,하수영,10.0,9.96,2781,0
180,best,101.0,350895,낡은키보드,113.0,9.99,2064,0
181,best,101.0,394494,이른비,109.0,9.97,5757,0
182,best,101.0,429702,여우비Rain,102.0,9.99,1488,0
183,best,101.0,422010,남꽃분,1.0,9.93,2805,0
184,best,101.0,366006,체크인,3.0,9.96,3315,0
185,best,101.0,405541,사지현,9.0,9.96,2181,0
186,best,101.0,262707,은차현,1.0,9.71,1734,0
187,best,101.0,427340,반지영,8.0,9.93,1681,0
188,best,101.0,471017,휜느,9.0,9.91,1785,0
189,best,101.0,110067,이은소,76.0,9.7,334,0
190,best,101.0,12877,황이정,87.0,9.84,4210,0
191,best,101.0,500688,배누리*,5.0,9.98,3851,0
192,best,101.0,268129,난슬,116.0,9.99,10600,0
193,best,101.0,504591,달바다.,70.0,9.99,1298,0
194,best,101.0,375350,비타민♥,103.0,9.99,4973,0
195,best,101.0,475727,뿌아종,106.0,9.98,5096,0
196,best,101.0,408776,유아현,6.0,9.98,3871,0
197,best,101.0,409943,윤혜원,61.0,9.79,2693,0
198,best,101.0,417421,옐로피쉬,7.0,9.97,4316,0
199,best,101.0,462969,목당,90.0,9.96,1426,0
200,best,101.0,525735,청춘망고,86.0,9.99,2026,0
201,best,101.0,143210,가을s,4.0,9.94,10512,0
202,best,101.0,406260,크리쉬,2.0,9.96,5321,1
203,best,101.0,475961,데니즐리,123.0,9.96,3779,0
204,best,101.0,378668,파란딱지,105.0,9.99,7527,0
205,best,101.0,430661,작가이미르,110.0,9.99,7021,0
206,best,101.0,250367,호텔아프리카,8.0,9.99,1652,0
207,best,101.0,501002,블 루 스 카 이,117.0,9.97,2169,0
208,best,101.0,485192,Red Kiss,97.0,9.99,1046,0
209,best,101.0,246738,파란수국,102.0,9.99,3793,0
210,best,101.0,427092,파란수국,101.0,9.98,5693,0
211,best,101.0,496566,진이현,9.0,9.99,1056,0
212,best,101.0,411963,박메가,6.0,9.87,4476,0
213,best,101.0,491784,안정원,5.0,9.99,1386,0
214,best,101.0,175183,푸른소리,7.0,9.96,5948,0
215,best,101.0,115949,장미(張美),139.0,9.98,6120,0
216,best,101.0,471841,하수영,3.0,9.95,1877,0
217,best,101.0,335437,맥끈,6.0,9.98,1432,0
218,best,101.0,286895,Ladybuck Studio,10.0,9.99,3910,0
219,best,101.0,466825,뚜이 .,21.0,9.98,1884,0
220,best,101.0,387226,김지유,7.0,9.98,2181,0
221,best,101.0,511612,블 루 스 카 이,8.0,9.98,2065,0
222,best,101.0,455288,RIYA,5.0,9.96,3166,0
223,best,101.0,428479,la Lune,11.0,9.98,3466,0
224,best,101.0,456136,블랑슈,95.0,9.81,1340,0
225,best,101.0,255438,이른봄,140.0,9.99,10999,0
226,best,101.0,459905,요귀염이,6.0,9.99,2254,0
227,best,101.0,452783,작은따옴표,2.0,9.97,4213,0
228,best,101.0,523063,윤보라.,79.0,9.93,2173,0
229,best,101.0,403786,담우,71.0,9.98,2514,0
230,best,101.0,242268,pinky,15.0,9.97,2034,0
231,best,101.0,210270,다노수,176.0,9.97,6892,0
232,best,101.0,308637,다노수,120.0,9.99,4872,0
233,best,101.0,481313,삼색냥,7.0,9.95,1250,0
234,best,101.0,352161,다노수,94.0,9.96,2879,0
235,best,101.0,218959,보풀,16.0,9.96,2578,0
236,best,101.0,215681,최연(레몬향),12.0,9.99,5029,0
237,best,101.0,437101,Lee Jihye,36.0,9.98,10481,1
238,best,101.0,459172,럼,18.0,9.86,1962,0
239,best,101.0,159392,붉은연꽃,3.0,9.92,14351,0
240,best,101.0,242099,주황연,33.0,9.99,2037,0
241,best,101.0,377750,snow,1.0,9.55,4155,0
242,best,101.0,391610,la Lune,6.0,9.99,1559,0
243,best,101.0,406576,이른봄,6.0,9.99,4400,0
244,best,101.0,414728,손작가,182.0,9.94,6935,0
245,best,101.0,480899,윤 소다,124.0,9.95,4019,0
246,best,101.0,428793,"구현, 이재익",78.0,9.97,5581,1
247,best,101.0,408958,순정나비,98.0,9.97,2006,0
248,best,101.0,473575,긴-봄,5.0,9.99,3780,0
249,best,101.0,244700,옥강냉Q,145.0,9.98,18439,0
250,best,101.0,483652,차수인,57.0,9.93,574,0
251,best,101.0,477775,채슈넛,54.0,9.96,4564,0
252,best,101.0,495488,풀잎향기,7.0,9.98,1278,0
253,best,101.0,396134,후(who),11.0,9.94,4114,0
254,best,101.0,399078,민휴,134.0,9.97,2586,0
255,best,101.0,409717,신의알잖아,41.0,9.99,2723,0
256,best,101.0,40385,온새미로,173.0,9.88,1181,0
257,best,101.0,323244,쏘담쏘담,7.0,9.98,5952,0
258,best,101.0,396422,맥끈,6.0,9.97,2760,0
259,best,101.0,464754,몽연서,6.0,9.91,3382,0
260,best,101.0,331979,바빌,194.0,9.95,8108,0
261,best,101.0,95981,레브(reve),229.0,9.92,9734,0
262,best,101.0,115087,榮日,116.0,9.9,12479,0
263,best,101.0,496576,Octo,74.0,9.99,1631,0
264,best,101.0,129295,pinky,4.0,9.84,4309,0
265,best,101.0,342283,디라이터,86.0,9.98,2942,0
266,best,101.0,332676,이 정,15.0,9.99,2162,0
267,best,101.0,89045,기승,74.0,9.98,1844,0
268,best,101.0,379123,G.윤,68.0,9.9,2496,0
