,level,genre,ID,name,episode_total,likeit
235,best,101,218959,보풀,16,783
236,best,101,215681,최연(레몬향),12,1427
237,best,101,437101,Lee Jihye,36,1911
238,best,101,459172,럼,18,580
239,best,101,159392,붉은연꽃,3,2791
240,best,101,242099,주황연,33,593
241,best,101,377750,snow,1,849
242,best,101,391610,la Lune,6,376
243,best,101,406576,이른봄,6,1414
244,best,101,414728,손작가,182,2016
245,best,101,480899,윤 소다,124,1107
246,best,101,428793,"구현, 이재익",78,1127
247,best,101,408958,순정나비,98,586
248,best,101,473575,긴-봄,5,1030
249,best,101,244700,옥강냉Q,145,3297
250,best,101,483652,차수인,57,259
251,best,101,477775,채슈넛,54,977
252,best,101,495488,풀잎향기,7,369
253,best,101,396134,후(who),11,952
254,best,101,399078,민휴,134,623
255,best,101,409717,신의알잖아,41,415
256,best,101,40385,온새미로,173,171
257,best,101,323244,쏘담쏘담,7,1500
258,best,101,396422,맥끈,6,964
259,best,101,464754,몽연서,6,896
260,best,101,331979,바빌,194,2500
261,best,101,95981,레브(reve),229,1597
262,best,101,115087,榮日,116,1389
263,best,101,496576,Octo,74,630
264,best,101,129295,pinky,4,700
265,best,101,342283,디라이터,86,535
266,best,101,332676,이 정,15,725
267,best,101,89045,기승,74,563
268,best,101,379123,G.윤,68,399
269,best,101,465420,온리온,70,556
270,best,101,180890,snow,3,2028
271,best,101,196867,판타즈마(fantasma),13,372
272,best,101,425840,윤해이(별별),4,1340
273,best,101,461279,골든애플,83,649
274,best,101,420227,시모어,7,1212
275,best,101,467477,사지현,7,1343
276,best,101,221468,안테,250,16294
277,best,101,394345,아이블룸,10,565
278,best,101,235100,김로아(진저더캣),88,1318
279,best,101,375934,럽룽이,107,312
280,best,101,213429,느린꽃,34,2372
281,best,101,363983,느린꽃,21,1376
282,best,101,429384,느린꽃,16,599
283,best,101,80051,rainbow,112,595
284,best,101,384688,김혜윰(뽕시꽁시),16,982
285,best,101,468602,블 루 스카이,103,351
286,best,101,339297,로즈마리 향기,84,1051
287,best,101,434054,프강,68,958
288,best,101,419262,공랴,7,1780
289,best,101,295483,리아지,10,1644
290,best,101,8513,비야랑,63,228
291,best,101,193407,김이다,144,669
292,best,101,457649,효월(김시현),1,1971
293,best,101,463625,Octo,115,696
294,best,101,332114,늘ㅎH랑,10,2548
295,best,101,459255,이경하,8,2424
296,best,101,212496,엣세라,9,1486
297,best,101,468797,용감한 자매,32,1057
298,best,101,418685,싹이튼감자,135,938
299,best,101,309466,김로아(진저더캣),1,542
300,best,101,210769,조수현,16,629
301,best,101,242008,에덴의 심장,6,122
302,best,101,201390,라 미,1,633
303,best,101,403888,진이현,8,675
304,best,101,464497,삼색냥,33,499
305,best,101,158190,솔온,10,499
306,best,101,138488,도토리토리,205,433
307,best,101,237175,oz,86,1234
308,best,101,1305,슈테른,52,383
309,best,101,509803,하예진(몰라양),15,465
310,best,101,119229,강한주,0,438
311,best,101,165993,윤리온,103,1205
312,best,101,427001,몽연서,38,1586
313,best,101,111649,홍여류,59,230
314,best,101,391540,화이트진,12,683
315,best,101,423592,김향선(허난설헌),101,581
316,best,101,465064,에르몬,54,540
317,best,101,450314,지지아,3,710
318,best,101,306648,파란딱지,118,1848
319,best,101,321889,가을s,1,1388
320,best,101,160631,억만불별똥,8,1462
321,best,101,184701,은텔라,12,752
322,best,101,283425,이솔Sol,2,1188
323,best,101,411783,가을s,56,624
324,best,101,301879,설하연,101,506
325,best,101,97896,보라순이,186,641
326,best,101,342054,에이레네(eirene),73,561
327,best,101,489894,서미주,67,370
328,best,101,403038,하라임,12,727
329,best,101,208892,다인 김민경,10,3183
330,best,101,212423,안느로망,18,437
331,best,101,412738,초코칩고기,17,1024
332,best,101,184825,oz,154,5749
333,best,101,242800,김화진,160,1149
334,best,101,204437,진이현,7,672
335,best,101,407273,carbo,1,1221
336,best,101,253683,빨간무지개,1,984
