,level,genre,ID,name,episode_total,main_score,concern_count,comments_count
149,webnovel,102.0,204121,김강현,10.0,9.89,21861,34
150,webnovel,102.0,7,청빙 최영진,30.0,9.88,25758,9
151,webnovel,102.0,11,금강,10.0,9.73,21463,3
152,webnovel,102.0,231621,백묘,10.0,9.94,17966,4
153,webnovel,102.0,73175,나락,60.0,9.95,15004,5
154,webnovel,102.0,272500,청빙 최영진,30.0,9.9,15324,77
155,webnovel,102.0,12,홍정훈,20.0,9.82,22071,3
156,webnovel,102.0,9,김강현,10.0,9.94,12433,2
157,webnovel,102.0,160709,가우리,17.0,9.93,12070,3
158,webnovel,102.0,98982,가온비,10.0,9.89,15484,3
159,webnovel,102.0,361653,캣츠아이&샤아드,45.0,9.93,10016,9
160,webnovel,102.0,215392,진저,11.0,9.95,11121,4
161,webnovel,102.0,113895,김주희,46.0,9.94,15338,4
162,webnovel,102.0,13,나민채,10.0,9.9,9548,2
163,webnovel,102.0,348263,윤현승,5.0,9.95,9536,7
164,webnovel,102.0,348261,김광수,10.0,8.56,5028,31
165,webnovel,102.0,6,지완,50.0,9.86,8107,1
166,webnovel,102.0,10,서하,10.0,9.9,10412,1
167,webnovel,102.0,166556,새빨간 당근,10.0,9.89,7124,0
168,webnovel,102.0,307732,레고밟았어,31.0,9.83,4664,29
169,webnovel,102.0,84281,나르얀,7.0,9.93,7857,0
170,webnovel,102.0,188291,약빤꽃게,80.0,9.36,4827,2
171,webnovel,102.0,50530,이상혁,20.0,9.9,4563,0
172,webnovel,102.0,231622,땅속나라,52.0,9.89,3385,3
173,webnovel,102.0,98993,고복수,42.0,9.81,2764,0
174,webnovel,102.0,409351,김인감독,104.0,9.96,2346,36
175,webnovel,103.0,215395,장영훈,243.0,9.94,63278,62
176,webnovel,103.0,113897,언라이팅 최현우,295.0,9.95,43699,160
177,webnovel,103.0,333315,조형근,182.0,9.96,33046,98
178,webnovel,103.0,390149,요도 김남재,148.0,9.96,25905,63
179,webnovel,103.0,485248,천봉,77.0,9.96,10370,36
180,webnovel,103.0,538922,이윤아,25.0,9.96,4842,20
181,webnovel,103.0,505105,매은,60.0,9.93,6706,13
182,webnovel,103.0,473140,골드래빗,85.0,9.88,5585,42
183,webnovel,103.0,545436,초객 안정빈,17.0,9.75,2708,15
184,webnovel,103.0,473139,헌진,86.0,9.89,4828,32
185,webnovel,103.0,8,이대성,10.0,9.83,81108,97
186,webnovel,103.0,14,장영훈,10.0,9.93,62670,7
187,webnovel,103.0,73222,요도 김남재,10.0,9.94,29979,3
188,webnovel,103.0,390148,이대성,139.0,9.48,16792,47
189,webnovel,103.0,215396,장담,10.0,9.82,11797,7
190,webnovel,103.0,153311,시우,123.0,9.37,12009,6
191,webnovel,103.0,15,태규,10.0,9.86,11610,5
192,webnovel,103.0,374461,이윤아,10.0,9.75,8747,81
193,webnovel,103.0,348262,만상조,103.0,9.96,10161,24
194,webnovel,103.0,204128,박성진(금시조),69.0,8.81,4025,4
195,webnovel,103.0,333312,초벽,91.0,9.77,5879,5
196,webnovel,103.0,73223,너울나래,30.0,9.9,7371,1
197,webnovel,103.0,166557,한연화,5.0,9.6,3020,2
198,webnovel,104.0,483046,이재익,78.0,9.97,14616,58
199,webnovel,104.0,554031,백우시,7.0,9.97,5205,12
200,webnovel,104.0,545437,이준일,17.0,9.92,3120,4
201,webnovel,104.0,494460,유 지 나,68.0,9.96,4550,70
202,webnovel,104.0,374460,언덕아래,5.0,9.96,14384,49
203,webnovel,104.0,84282,강지영,5.0,9.89,11530,0
204,webnovel,104.0,348259,디망쉬,10.0,9.95,9937,4
205,webnovel,104.0,409347,진연,78.0,9.94,6523,22
206,webnovel,104.0,84284,클랜시,7.0,9.53,8620,0
207,webnovel,104.0,272501,클랜시,53.0,9.87,5238,0
208,webnovel,104.0,50519,이재익,5.0,9.46,3207,0
209,webnovel,104.0,348264,김은정,7.0,9.93,4211,0
210,webnovel,104.0,252937,김종일,78.0,9.91,4973,12
211,webnovel,104.0,50520,라시안,45.0,9.95,6436,1
212,webnovel,104.0,113903,윤인완,9.0,9.77,7327,2
213,webnovel,104.0,99001,래아,60.0,9.79,7117,0
214,webnovel,104.0,50518,아진,5.0,9.77,4011,0
215,webnovel,104.0,153309,클랜시,5.0,9.71,2783,7
216,webnovel,104.0,291829,한상운,5.0,9.72,1366,0
217,webnovel,104.0,113904,유현산,5.0,9.4,2095,0
218,webnovel,104.0,63071,심상대,1.0,9.39,1769,0
219,webnovel,104.0,215394,권순규,50.0,9.72,1701,0
220,webnovel,104.0,126775,이슬기,5.0,9.83,2417,1
221,webnovel,106.0,494452,유은이,69.0,9.96,18793,17
222,webnovel,106.0,494458,강선영(홍차),69.0,9.95,18237,27
223,webnovel,106.0,423620,NZ,122.0,9.92,12617,41
224,webnovel,106.0,456728,무영자,105.0,9.95,10361,105
225,webnovel,106.0,361654,이정운,7.0,9.91,19932,24
226,webnovel,106.0,398093,김애정,5.0,9.94,25805,76
227,webnovel,106.0,252939,NZ,20.0,9.83,20018,28
228,webnovel,106.0,466372,땅별(정은숙),68.0,9.89,5829,29
229,webnovel,106.0,252941,NEOTYPE,5.0,9.42,6466,11
230,webnovel,108.0,456727,주썸머,104.0,9.97,18764,34
231,webnovel,108.0,505107,이세,60.0,9.95,9160,37
232,webnovel,108.0,538923,Octo,26.0,9.94,4668,5
233,webnovel,108.0,466392,문백경,95.0,9.95,6889,20
234,webnovel,108.0,538925,Go-uni,26.0,9.88,4116,21
235,webnovel,108.0,433837,위상 신무광,113.0,9.92,4474,12
236,webnovel,108.0,538926,박소헌,26.0,9.96,3485,9
237,webnovel,108.0,398095,이종호,100.0,9.91,5470,14
238,webnovel,108.0,272505,가을선,53.0,9.94,4799,16
239,webnovel,108.0,252942,강양,27.0,9.28,1093,0
240,webnovel,108.0,291783,셜록 F.,5.0,8.29,662,1
